id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-patek-philippe-nautilus-5990-1a-011-blue-dial-g05990-1a-01,mismatch,name;reference,"Patek Philippe Nautilus 5990/1A-011, Stainless Steel, Blue Index Dial 40 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,5990/1A-011,172900,172900.0,9,3,/api/uploads/aviandco/products/pp-nautilus-5990-1a-011-blue-1-3-1-1-180fa1df5070769e.jpg,https://www.aviandco.com/patek-philippe-nautilus-5990-1a-011-blue-dial-g05990-1a-011-001
avi-patek-philippe-nautilus-5990-1r-001-blue-index-dial-5990-1,mismatch,name;price;reference,"Patek Philippe Nautilus 5990/1R-001, 18K Rose Gold, Blue Index Dial, 40 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,5990/1R-001,0,306100.0,3,3,/api/uploads/aviandco/products/patek-philippe-nautilis-5990-1r-1-2-1-1-2-2-321fe9eb07f43016.jpg,https://www.aviandco.com/patek-philippe-nautilus-5990-1r-001-blue-index-dial-5990-1r-024
avi-patek-philippe-nautilus-7010-1g-010-001-grey-dial-7010-1g-,mismatch,name;reference,"Patek Philippe Nautilus 7010/1G-010, 18K White Gold, Diamond Bezel, Grey Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010/1G-010,74900,74900.0,3,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7010-1g-010-001-6c8190c8a7f22aef.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010-1g-010-001-grey-dial-7010-1g-001
avi-patek-philippe-nautilus-7010-1g-013-azure-blue-dial-7010-1,mismatch,name;reference,"Patek Philippe Nautilus 7010/1G-013, 18K White Gold, Diamond Bezel, Azure Blue Wave Dial, 32 mm (2026)",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010/1G-013,112300,112300.0,3,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7010-1g-013-001-1-1-1-92e62452c4872402.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010-1g-013-azure-blue-dial-7010-1g-005
avi-patek-philippe-nautilus-7010-1r-011-silver-dial-g07010-1r-,mismatch,name;reference,"Patek Philippe Nautilus 7010/1R-011, Rose Gold, Silver Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010/1R-011,103900,103900.0,9,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7010-1r-011-1-f782390a652a6091.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010-1r-011-silver-dial-g07010-1r-011
avi-patek-philippe-nautilus-7010-1r-013-purple-dial-7010-1r-01,mismatch,name;price;reference,"Patek Philippe Nautilus 7010/1R-013, 18K Rose Gold, Diamond Bezel, Purple Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010/1R-013,0,148000.0,12,3,/api/uploads/aviandco/products/7010r-002-1-3-1-1-1-fa7e66ded9748593.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010-1r-013-purple-dial-7010-1r-013
avi-patek-philippe-nautilus-7010g-013-azure-blue-dial-7010g-01,mismatch,name;price;reference,"Patek Philippe Nautilus 7010G-013, 18K White Gold, Azure Blue Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010G-013,0,81700.0,4,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7010g-013-001-1-1-438176be2fd9bf0a.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010g-013-azure-blue-dial-7010g-013-001
avi-patek-philippe-nautilus-7010r-011-silver-dial-g07010r-011,mismatch,name;reference,"Patek Philippe Nautilus 7010R-011, Rose Gold, Diamond Bezel, Silver Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010R-011,64900,64900.0,9,3,/api/uploads/aviandco/products/pp-nautilus-7010r-011-silver-1-37f83012c1a65d57.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010r-011-silver-dial-g07010r-011
avi-patek-philippe-nautilus-7010r-013-purple-dial-7010r-013-00,mismatch,name;price;reference,"Patek Philippe Nautilus 7010R-013, 18K Rose Gold, Diamond Bezel, Purple Dial, 32 mm",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7010R-013,81700,79600.0,3,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7010r-001-1-181d78751e7737f1.jpg,https://www.aviandco.com/patek-philippe-nautilus-7010r-013-purple-dial-7010r-013-005
avi-patek-philippe-nautilus-7118-1200a-001-blue-index-dial-711,mismatch,name;reference,"Patek Philippe Nautilus 7118/1200A-001, Stainless Steel, Diamond Bezel, Blue Index Dial, 35 mm (2026)",Patek Philippe Nautilus,Patek Philippe,NULL,NULL,7118/1200A-001,117400,117400.0,12,3,/api/uploads/aviandco/products/patek-philippe-nautilus-7118-1200a-007-1-1-86dd9ed1b0271210.jpg,https://www.aviandco.com/patek-philippe-nautilus-7118-1200a-001-blue-index-dial-7118-1200a-009
